,,Missing,Overall
"disease_site, n (%)",C24,,156 (3.9)
"disease_site, n (%)",C25,,1355 (33.9)
"disease_site, n (%)",Other,,112 (2.8)
"regimen, n (%)",GI-CISPCAPE+TRAS(MAIN),,67 (1.7)
"regimen, n (%)",GI-ECF,,42 (1.1)
"regimen, n (%)",GI-ECX,,118 (2.9)
"regimen, n (%)",GI-FOLFIRI,,76 (1.9)
"regimen, n (%)",GI-FOLFIRI+BEVACIZUMAB,,816 (20.4)
"regimen, n (%)",GI-FOLFIRINOX,,410 (10.2)
"regimen, n (%)",GI-FOLFOX (GASTRIC),,40 (1.0)
"regimen, n (%)",GI-FOLFOX+BEVACIZUMAB,,59 (1.5)
"regimen, n (%)",GI-FOLFOX-6 MOD,,283 (7.1)
"regimen, n (%)","GI-FUFA C1,4,5 GASTRIC",,67 (1.7)
"regimen, n (%)",GI-GEM 40MG/M2 2X/WK,,99 (2.5)
"regimen, n (%)","GI-GEM D1,8",,59 (1.5)
"regimen, n (%)","GI-GEM D1,8,15",,522 (13.1)
"regimen, n (%)",GI-GEM+ABRAXANE,,302 (7.5)
"regimen, n (%)",GI-GEMCISP (BILIARY),,185 (4.6)
"regimen, n (%)",GI-GEMCISP (PANCREAS),,63 (1.6)
"regimen, n (%)",GI-MITOFU,,268 (6.7)
"regimen, n (%)",GI-PACLI/CARBO WEEKX5,,83 (2.1)
"regimen, n (%)",GI-PANITUMUMAB,,108 (2.7)
"regimen, n (%)",GI-RAMUCIRUMAB+PACLI,,70 (1.8)
"regimen, n (%)",Other,,263 (6.6)
"intent, n (%)",ADJUVANT,,496 (12.4)
"intent, n (%)",CURATIVE,,279 (7.0)
"intent, n (%)",NEOADJUVANT,,251 (6.3)
"intent, n (%)",PALLIATIVE,,2974 (74.4)
"gender, n (%)",Female,,1751 (43.8)
"gender, n (%)",Male,,2249 (56.2)
"patient_ecog, n (%)",0.0,,625 (15.6)
"patient_ecog, n (%)",1.0,,1464 (36.6)
"patient_ecog, n (%)",2.0,,503 (12.6)
"patient_ecog, n (%)",3.0,,281 (7.0)
"patient_ecog, n (%)",4.0,,16 (0.4)
"patient_ecog, n (%)",None,,1111 (27.8)
"potassium, n (%)",2.6,,1 (0.0)
"potassium, n (%)",2.8,,3 (0.1)
"potassium, n (%)",2.9,,1 (0.0)
"potassium, n (%)",3.0,,10 (0.2)
"potassium, n (%)",3.1,,19 (0.5)
"potassium, n (%)",3.2,,15 (0.4)
"potassium, n (%)",3.3,,25 (0.6)
"potassium, n (%)",3.4,,34 (0.9)
"potassium, n (%)",3.5,,53 (1.3)
"potassium, n (%)",3.6,,67 (1.7)
"potassium, n (%)",3.7,,89 (2.2)
"potassium, n (%)",3.8,,99 (2.5)
"potassium, n (%)",3.9,,145 (3.6)
"potassium, n (%)",4.0,,151 (3.8)
"potassium, n (%)",4.1,,176 (4.4)
"potassium, n (%)",4.2,,167 (4.2)
"potassium, n (%)",4.3,,158 (4.0)
"potassium, n (%)",4.4,,134 (3.4)
"potassium, n (%)",4.5,,97 (2.4)
"potassium, n (%)",4.6,,72 (1.8)
"potassium, n (%)",4.7,,58 (1.5)
"potassium, n (%)",4.8,,44 (1.1)
"potassium, n (%)",4.9,,26 (0.7)
"potassium, n (%)",5.0,,9 (0.2)
"potassium, n (%)",5.1,,11 (0.3)
"potassium, n (%)",5.2,,8 (0.2)
"potassium, n (%)",5.3,,9 (0.2)
"potassium, n (%)",5.4,,2 (0.1)
"potassium, n (%)",5.6,,1 (0.0)
"potassium, n (%)",5.7,,1 (0.0)
"potassium, n (%)",None,,2315 (57.9)
"bicarbonate, n (%)",16.0,,2 (0.1)
"bicarbonate, n (%)",17.0,,2 (0.1)
"bicarbonate, n (%)",18.0,,1 (0.0)
"bicarbonate, n (%)",19.0,,5 (0.1)
"bicarbonate, n (%)",20.0,,19 (0.5)
"bicarbonate, n (%)",21.0,,41 (1.0)
"bicarbonate, n (%)",22.0,,51 (1.3)
"bicarbonate, n (%)",23.0,,68 (1.7)
"bicarbonate, n (%)",24.0,,123 (3.1)
"bicarbonate, n (%)",25.0,,136 (3.4)
"bicarbonate, n (%)",26.0,,135 (3.4)
"bicarbonate, n (%)",27.0,,99 (2.5)
"bicarbonate, n (%)",28.0,,89 (2.2)
"bicarbonate, n (%)",29.0,,49 (1.2)
"bicarbonate, n (%)",30.0,,17 (0.4)
"bicarbonate, n (%)",31.0,,10 (0.2)
"bicarbonate, n (%)",32.0,,3 (0.1)
"bicarbonate, n (%)",33.0,,2 (0.1)
"bicarbonate, n (%)",35.0,,1 (0.0)
"bicarbonate, n (%)",None,,3147 (78.7)
"esas_pain, n (%)",0.0,,1323 (33.1)
"esas_pain, n (%)",1.0,,471 (11.8)
"esas_pain, n (%)",10.0,,6 (0.1)
"esas_pain, n (%)",2.0,,353 (8.8)
"esas_pain, n (%)",3.0,,329 (8.2)
"esas_pain, n (%)",4.0,,166 (4.2)
"esas_pain, n (%)",5.0,,164 (4.1)
"esas_pain, n (%)",6.0,,107 (2.7)
"esas_pain, n (%)",7.0,,105 (2.6)
"esas_pain, n (%)",8.0,,51 (1.3)
"esas_pain, n (%)",9.0,,15 (0.4)
"esas_pain, n (%)",None,,910 (22.8)
"esas_drowsiness, n (%)",0.0,,1138 (28.4)
"esas_drowsiness, n (%)",1.0,,435 (10.9)
"esas_drowsiness, n (%)",10.0,,21 (0.5)
"esas_drowsiness, n (%)",2.0,,397 (9.9)
"esas_drowsiness, n (%)",3.0,,276 (6.9)
"esas_drowsiness, n (%)",4.0,,228 (5.7)
"esas_drowsiness, n (%)",5.0,,244 (6.1)
"esas_drowsiness, n (%)",6.0,,153 (3.8)
"esas_drowsiness, n (%)",7.0,,125 (3.1)
"esas_drowsiness, n (%)",8.0,,47 (1.2)
"esas_drowsiness, n (%)",9.0,,19 (0.5)
"esas_drowsiness, n (%)",None,,917 (22.9)
"esas_well_being, n (%)",0.0,,568 (14.2)
"esas_well_being, n (%)",1.0,,433 (10.8)
"esas_well_being, n (%)",10.0,,8 (0.2)
"esas_well_being, n (%)",2.0,,503 (12.6)
"esas_well_being, n (%)",3.0,,452 (11.3)
"esas_well_being, n (%)",4.0,,311 (7.8)
"esas_well_being, n (%)",5.0,,376 (9.4)
"esas_well_being, n (%)",6.0,,200 (5.0)
"esas_well_being, n (%)",7.0,,130 (3.2)
"esas_well_being, n (%)",8.0,,67 (1.7)
"esas_well_being, n (%)",9.0,,25 (0.6)
"esas_well_being, n (%)",None,,927 (23.2)
"esas_nausea, n (%)",0.0,,1813 (45.3)
"esas_nausea, n (%)",1.0,,407 (10.2)
"esas_nausea, n (%)",10.0,,1 (0.0)
"esas_nausea, n (%)",2.0,,305 (7.6)
"esas_nausea, n (%)",3.0,,185 (4.6)
"esas_nausea, n (%)",4.0,,130 (3.2)
"esas_nausea, n (%)",5.0,,116 (2.9)
"esas_nausea, n (%)",6.0,,65 (1.6)
"esas_nausea, n (%)",7.0,,39 (1.0)
"esas_nausea, n (%)",8.0,,19 (0.5)
"esas_nausea, n (%)",9.0,,8 (0.2)
"esas_nausea, n (%)",None,,912 (22.8)
"albumin, n (%)",19.0,,1 (0.0)
"albumin, n (%)",21.0,,3 (0.1)
"albumin, n (%)",22.0,,5 (0.1)
"albumin, n (%)",23.0,,10 (0.2)
"albumin, n (%)",24.0,,9 (0.2)
"albumin, n (%)",25.0,,8 (0.2)
"albumin, n (%)",26.0,,8 (0.2)
"albumin, n (%)",27.0,,10 (0.2)
"albumin, n (%)",28.0,,13 (0.3)
"albumin, n (%)",29.0,,19 (0.5)
"albumin, n (%)",30.0,,29 (0.7)
"albumin, n (%)",31.0,,39 (1.0)
"albumin, n (%)",32.0,,35 (0.9)
"albumin, n (%)",33.0,,66 (1.7)
"albumin, n (%)",34.0,,84 (2.1)
"albumin, n (%)",35.0,,126 (3.1)
"albumin, n (%)",36.0,,144 (3.6)
"albumin, n (%)",37.0,,174 (4.3)
"albumin, n (%)",38.0,,165 (4.1)
"albumin, n (%)",39.0,,166 (4.2)
"albumin, n (%)",40.0,,114 (2.9)
"albumin, n (%)",41.0,,106 (2.6)
"albumin, n (%)",42.0,,63 (1.6)
"albumin, n (%)",43.0,,40 (1.0)
"albumin, n (%)",44.0,,23 (0.6)
"albumin, n (%)",45.0,,11 (0.3)
"albumin, n (%)",46.0,,4 (0.1)
"albumin, n (%)",47.0,,1 (0.0)
"albumin, n (%)",48.0,,1 (0.0)
"albumin, n (%)",49.0,,3 (0.1)
"albumin, n (%)",None,,2520 (63.0)
"esas_tiredness, n (%)",0.0,,509 (12.7)
"esas_tiredness, n (%)",1.0,,427 (10.7)
"esas_tiredness, n (%)",10.0,,31 (0.8)
"esas_tiredness, n (%)",2.0,,436 (10.9)
"esas_tiredness, n (%)",3.0,,474 (11.8)
"esas_tiredness, n (%)",4.0,,313 (7.8)
"esas_tiredness, n (%)",5.0,,316 (7.9)
"esas_tiredness, n (%)",6.0,,215 (5.4)
"esas_tiredness, n (%)",7.0,,171 (4.3)
"esas_tiredness, n (%)",8.0,,126 (3.1)
"esas_tiredness, n (%)",9.0,,67 (1.7)
"esas_tiredness, n (%)",None,,915 (22.9)
"esas_depression, n (%)",0.0,,1393 (34.8)
"esas_depression, n (%)",1.0,,468 (11.7)
"esas_depression, n (%)",10.0,,8 (0.2)
"esas_depression, n (%)",2.0,,411 (10.3)
"esas_depression, n (%)",3.0,,220 (5.5)
"esas_depression, n (%)",4.0,,154 (3.9)
"esas_depression, n (%)",5.0,,214 (5.3)
"esas_depression, n (%)",6.0,,116 (2.9)
"esas_depression, n (%)",7.0,,63 (1.6)
"esas_depression, n (%)",8.0,,31 (0.8)
"esas_depression, n (%)",9.0,,11 (0.3)
"esas_depression, n (%)",None,,911 (22.8)
"chloride, n (%)",100.0,,78 (1.9)
"chloride, n (%)",101.0,,115 (2.9)
"chloride, n (%)",102.0,,133 (3.3)
"chloride, n (%)",103.0,,165 (4.1)
"chloride, n (%)",104.0,,194 (4.9)
"chloride, n (%)",105.0,,188 (4.7)
"chloride, n (%)",106.0,,188 (4.7)
"chloride, n (%)",107.0,,154 (3.9)
"chloride, n (%)",108.0,,106 (2.6)
"chloride, n (%)",109.0,,76 (1.9)
"chloride, n (%)",110.0,,62 (1.6)
"chloride, n (%)",111.0,,32 (0.8)
"chloride, n (%)",112.0,,14 (0.4)
"chloride, n (%)",113.0,,7 (0.2)
"chloride, n (%)",114.0,,1 (0.0)
"chloride, n (%)",116.0,,1 (0.0)
"chloride, n (%)",87.0,,1 (0.0)
"chloride, n (%)",88.0,,1 (0.0)
"chloride, n (%)",89.0,,1 (0.0)
"chloride, n (%)",90.0,,2 (0.1)
"chloride, n (%)",91.0,,2 (0.1)
"chloride, n (%)",92.0,,2 (0.1)
"chloride, n (%)",93.0,,4 (0.1)
"chloride, n (%)",94.0,,16 (0.4)
"chloride, n (%)",95.0,,11 (0.3)
"chloride, n (%)",96.0,,13 (0.3)
"chloride, n (%)",97.0,,26 (0.7)
"chloride, n (%)",98.0,,41 (1.0)
"chloride, n (%)",99.0,,50 (1.2)
"chloride, n (%)",None,,2316 (57.9)
"age, n (%)",23,,11 (0.3)
"age, n (%)",36,,7 (0.2)
"age, n (%)",37,,6 (0.1)
"age, n (%)",38,,7 (0.2)
"age, n (%)",39,,12 (0.3)
"age, n (%)",41,,9 (0.2)
"age, n (%)",42,,7 (0.2)
"age, n (%)",43,,32 (0.8)
"age, n (%)",44,,10 (0.2)
"age, n (%)",45,,14 (0.4)
"age, n (%)",46,,38 (0.9)
"age, n (%)",47,,34 (0.9)
"age, n (%)",48,,46 (1.1)
"age, n (%)",49,,40 (1.0)
"age, n (%)",50,,9 (0.2)
"age, n (%)",51,,32 (0.8)
"age, n (%)",52,,34 (0.9)
"age, n (%)",53,,83 (2.1)
"age, n (%)",54,,95 (2.4)
"age, n (%)",55,,88 (2.2)
"age, n (%)",56,,77 (1.9)
"age, n (%)",57,,126 (3.1)
"age, n (%)",58,,102 (2.5)
"age, n (%)",59,,194 (4.9)
"age, n (%)",60,,147 (3.7)
"age, n (%)",61,,148 (3.7)
"age, n (%)",62,,120 (3.0)
"age, n (%)",63,,142 (3.5)
"age, n (%)",64,,251 (6.3)
"age, n (%)",65,,198 (5.0)
"age, n (%)",66,,64 (1.6)
"age, n (%)",67,,147 (3.7)
"age, n (%)",68,,146 (3.6)
"age, n (%)",69,,175 (4.4)
"age, n (%)",70,,129 (3.2)
"age, n (%)",71,,89 (2.2)
"age, n (%)",72,,156 (3.9)
"age, n (%)",73,,166 (4.2)
"age, n (%)",74,,160 (4.0)
"age, n (%)",75,,138 (3.5)
"age, n (%)",76,,46 (1.1)
"age, n (%)",77,,74 (1.8)
"age, n (%)",78,,61 (1.5)
"age, n (%)",79,,36 (0.9)
"age, n (%)",80,,66 (1.7)
"age, n (%)",81,,53 (1.3)
"age, n (%)",82,,47 (1.2)
"age, n (%)",83,,47 (1.2)
"age, n (%)",84,,20 (0.5)
"age, n (%)",85,,8 (0.2)
"age, n (%)",86,,42 (1.1)
"age, n (%)",87,,7 (0.2)
"age, n (%)",89,,2 (0.1)
"age, n (%)",92,,2 (0.1)
"esas_anxiety, n (%)",0.0,,1136 (28.4)
"esas_anxiety, n (%)",1.0,,461 (11.5)
"esas_anxiety, n (%)",10.0,,16 (0.4)
"esas_anxiety, n (%)",2.0,,464 (11.6)
"esas_anxiety, n (%)",3.0,,282 (7.0)
"esas_anxiety, n (%)",4.0,,193 (4.8)
"esas_anxiety, n (%)",5.0,,235 (5.9)
"esas_anxiety, n (%)",6.0,,126 (3.1)
"esas_anxiety, n (%)",7.0,,79 (2.0)
"esas_anxiety, n (%)",8.0,,73 (1.8)
"esas_anxiety, n (%)",9.0,,19 (0.5)
"esas_anxiety, n (%)",None,,916 (22.9)
"height, n (%)",131,,11 (0.3)
"height, n (%)",147,,9 (0.2)
"height, n (%)",148,,5 (0.1)
"height, n (%)",149,,13 (0.3)
"height, n (%)",150,,49 (1.2)
"height, n (%)",151,,21 (0.5)
"height, n (%)",152,,60 (1.5)
"height, n (%)",153,,42 (1.1)
"height, n (%)",154,,87 (2.2)
"height, n (%)",155,,88 (2.2)
"height, n (%)",156,,120 (3.0)
"height, n (%)",157,,70 (1.8)
"height, n (%)",158,,143 (3.6)
"height, n (%)",159,,164 (4.1)
"height, n (%)",160,,125 (3.1)
"height, n (%)",161,,66 (1.7)
"height, n (%)",162,,50 (1.2)
"height, n (%)",163,,139 (3.5)
"height, n (%)",164,,105 (2.6)
"height, n (%)",165,,174 (4.3)
"height, n (%)",166,,117 (2.9)
"height, n (%)",167,,104 (2.6)
"height, n (%)",168,,137 (3.4)
"height, n (%)",169,,47 (1.2)
"height, n (%)",170,,215 (5.4)
"height, n (%)",171,,74 (1.8)
"height, n (%)",172,,130 (3.2)
"height, n (%)",173,,242 (6.0)
"height, n (%)",174,,170 (4.2)
"height, n (%)",175,,248 (6.2)
"height, n (%)",176,,172 (4.3)
"height, n (%)",177,,134 (3.4)
"height, n (%)",178,,86 (2.1)
"height, n (%)",179,,46 (1.1)
"height, n (%)",180,,86 (2.1)
"height, n (%)",181,,51 (1.3)
"height, n (%)",182,,74 (1.8)
"height, n (%)",183,,137 (3.4)
"height, n (%)",184,,55 (1.4)
"height, n (%)",185,,83 (2.1)
"height, n (%)",186,,19 (0.5)
"height, n (%)",187,,4 (0.1)
"height, n (%)",188,,11 (0.3)
"height, n (%)",190,,8 (0.2)
"height, n (%)",191,,3 (0.1)
"height, n (%)",193,,2 (0.1)
"height, n (%)",195,,1 (0.0)
"height, n (%)",197,,3 (0.1)
"sodium, n (%)",123.0,,1 (0.0)
"sodium, n (%)",124.0,,1 (0.0)
"sodium, n (%)",125.0,,2 (0.1)
"sodium, n (%)",126.0,,7 (0.2)
"sodium, n (%)",127.0,,4 (0.1)
"sodium, n (%)",128.0,,8 (0.2)
"sodium, n (%)",129.0,,11 (0.3)
"sodium, n (%)",130.0,,14 (0.4)
"sodium, n (%)",131.0,,15 (0.4)
"sodium, n (%)",132.0,,46 (1.1)
"sodium, n (%)",133.0,,58 (1.5)
"sodium, n (%)",134.0,,101 (2.5)
"sodium, n (%)",135.0,,119 (3.0)
"sodium, n (%)",136.0,,163 (4.1)
"sodium, n (%)",137.0,,200 (5.0)
"sodium, n (%)",138.0,,223 (5.6)
"sodium, n (%)",139.0,,254 (6.3)
"sodium, n (%)",140.0,,198 (5.0)
"sodium, n (%)",141.0,,134 (3.4)
"sodium, n (%)",142.0,,71 (1.8)
"sodium, n (%)",143.0,,38 (0.9)
"sodium, n (%)",144.0,,9 (0.2)
"sodium, n (%)",145.0,,4 (0.1)
"sodium, n (%)",146.0,,3 (0.1)
"sodium, n (%)",147.0,,1 (0.0)
"sodium, n (%)",148.0,,1 (0.0)
"sodium, n (%)",None,,2314 (57.9)
"esas_shortness_of_breath, n (%)",0.0,,1654 (41.3)
"esas_shortness_of_breath, n (%)",1.0,,500 (12.5)
"esas_shortness_of_breath, n (%)",2.0,,311 (7.8)
"esas_shortness_of_breath, n (%)",3.0,,200 (5.0)
"esas_shortness_of_breath, n (%)",4.0,,119 (3.0)
"esas_shortness_of_breath, n (%)",5.0,,129 (3.2)
"esas_shortness_of_breath, n (%)",6.0,,94 (2.4)
"esas_shortness_of_breath, n (%)",7.0,,47 (1.2)
"esas_shortness_of_breath, n (%)",8.0,,29 (0.7)
"esas_shortness_of_breath, n (%)",9.0,,9 (0.2)
"esas_shortness_of_breath, n (%)",None,,908 (22.7)
"cycle_number, n (%)",1,,957 (23.9)
"cycle_number, n (%)",10,,97 (2.4)
"cycle_number, n (%)",11,,82 (2.1)
"cycle_number, n (%)",12,,72 (1.8)
"cycle_number, n (%)",13,,58 (1.5)
"cycle_number, n (%)",14,,49 (1.2)
"cycle_number, n (%)",15,,42 (1.1)
"cycle_number, n (%)",16,,39 (1.0)
"cycle_number, n (%)",17,,34 (0.9)
"cycle_number, n (%)",18,,33 (0.8)
"cycle_number, n (%)",19,,33 (0.8)
"cycle_number, n (%)",2,,585 (14.6)
"cycle_number, n (%)",20,,30 (0.8)
"cycle_number, n (%)",21,,30 (0.8)
"cycle_number, n (%)",22,,28 (0.7)
"cycle_number, n (%)",23,,22 (0.5)
"cycle_number, n (%)",24,,18 (0.4)
"cycle_number, n (%)",25,,17 (0.4)
"cycle_number, n (%)",26,,14 (0.4)
"cycle_number, n (%)",27,,13 (0.3)
"cycle_number, n (%)",28,,13 (0.3)
"cycle_number, n (%)",29,,13 (0.3)
"cycle_number, n (%)",3,,387 (9.7)
"cycle_number, n (%)",30,,11 (0.3)
"cycle_number, n (%)",31,,10 (0.2)
"cycle_number, n (%)",32,,10 (0.2)
"cycle_number, n (%)",33,,9 (0.2)
"cycle_number, n (%)",34,,6 (0.1)
"cycle_number, n (%)",35,,6 (0.1)
"cycle_number, n (%)",36,,6 (0.1)
"cycle_number, n (%)",37,,6 (0.1)
"cycle_number, n (%)",38,,7 (0.2)
"cycle_number, n (%)",39,,5 (0.1)
"cycle_number, n (%)",4,,312 (7.8)
"cycle_number, n (%)",40,,5 (0.1)
"cycle_number, n (%)",41,,5 (0.1)
"cycle_number, n (%)",42,,5 (0.1)
"cycle_number, n (%)",43,,4 (0.1)
"cycle_number, n (%)",44,,4 (0.1)
"cycle_number, n (%)",45,,4 (0.1)
"cycle_number, n (%)",46,,3 (0.1)
"cycle_number, n (%)",47,,3 (0.1)
"cycle_number, n (%)",48,,2 (0.1)
"cycle_number, n (%)",49,,4 (0.1)
"cycle_number, n (%)",5,,256 (6.4)
"cycle_number, n (%)",50,,3 (0.1)
"cycle_number, n (%)",51,,3 (0.1)
"cycle_number, n (%)",52,,3 (0.1)
"cycle_number, n (%)",53,,3 (0.1)
"cycle_number, n (%)",54,,3 (0.1)
"cycle_number, n (%)",55,,2 (0.1)
"cycle_number, n (%)",56,,2 (0.1)
"cycle_number, n (%)",57,,2 (0.1)
"cycle_number, n (%)",58,,1 (0.0)
"cycle_number, n (%)",59,,2 (0.1)
"cycle_number, n (%)",6,,207 (5.2)
"cycle_number, n (%)",60,,1 (0.0)
"cycle_number, n (%)",61,,1 (0.0)
"cycle_number, n (%)",62,,1 (0.0)
"cycle_number, n (%)",63,,1 (0.0)
"cycle_number, n (%)",64,,1 (0.0)
"cycle_number, n (%)",65,,1 (0.0)
"cycle_number, n (%)",66,,1 (0.0)
"cycle_number, n (%)",67,,1 (0.0)
"cycle_number, n (%)",68,,1 (0.0)
"cycle_number, n (%)",69,,1 (0.0)
"cycle_number, n (%)",7,,147 (3.7)
"cycle_number, n (%)",70,,1 (0.0)
"cycle_number, n (%)",71,,1 (0.0)
"cycle_number, n (%)",72,,1 (0.0)
"cycle_number, n (%)",73,,1 (0.0)
"cycle_number, n (%)",74,,1 (0.0)
"cycle_number, n (%)",75,,1 (0.0)
"cycle_number, n (%)",76,,2 (0.1)
"cycle_number, n (%)",77,,1 (0.0)
"cycle_number, n (%)",78,,1 (0.0)
"cycle_number, n (%)",79,,1 (0.0)
"cycle_number, n (%)",8,,134 (3.4)
"cycle_number, n (%)",80,,1 (0.0)
"cycle_number, n (%)",9,,117 (2.9)
"line_of_therapy, n (%)",0,,1014 (25.4)
"line_of_therapy, n (%)",1,,2109 (52.7)
"line_of_therapy, n (%)",2,,590 (14.8)
"line_of_therapy, n (%)",3,,219 (5.5)
"line_of_therapy, n (%)",4,,64 (1.6)
"line_of_therapy, n (%)",5,,4 (0.1)
"esas_appetite, n (%)",0.0,,1287 (32.2)
"esas_appetite, n (%)",1.0,,420 (10.5)
"esas_appetite, n (%)",10.0,,14 (0.4)
"esas_appetite, n (%)",2.0,,324 (8.1)
"esas_appetite, n (%)",3.0,,275 (6.9)
"esas_appetite, n (%)",4.0,,193 (4.8)
"esas_appetite, n (%)",5.0,,238 (5.9)
"esas_appetite, n (%)",6.0,,120 (3.0)
"esas_appetite, n (%)",7.0,,100 (2.5)
"esas_appetite, n (%)",8.0,,83 (2.1)
"esas_appetite, n (%)",9.0,,31 (0.8)
"esas_appetite, n (%)",None,,915 (22.9)
