,,Missing,Overall
"hemoglobin_is_missing, n (%)",False,,1054 (52.7)
"hemoglobin_is_missing, n (%)",True,,945 (47.3)
"cancer_site_C10, n (%)",False,,1994 (99.7)
"cancer_site_C10, n (%)",True,,5 (0.3)
"cancer_site_C08, n (%)",False,,1999 (100.0)
"cancer_site_C21, n (%)",False,,1839 (92.0)
"cancer_site_C21, n (%)",True,,160 (8.0)
"mean_corpuscular_hemoglobin_is_missing, n (%)",False,,1054 (52.7)
"mean_corpuscular_hemoglobin_is_missing, n (%)",True,,945 (47.3)
"esas_well_being_is_missing, n (%)",False,,1480 (74.0)
"esas_well_being_is_missing, n (%)",True,,519 (26.0)
"cancer_site_C16, n (%)",False,,1795 (89.8)
"cancer_site_C16, n (%)",True,,204 (10.2)
"esas_drowsiness_change_is_missing, n (%)",False,,1283 (64.2)
"esas_drowsiness_change_is_missing, n (%)",True,,716 (35.8)
"cancer_site_C18, n (%)",False,,1666 (83.3)
"cancer_site_C18, n (%)",True,,333 (16.7)
"lymphocyte_is_missing, n (%)",False,,1054 (52.7)
"lymphocyte_is_missing, n (%)",True,,945 (47.3)
"red_cell_distribution_width_is_missing, n (%)",False,,980 (49.0)
"red_cell_distribution_width_is_missing, n (%)",True,,1019 (51.0)
"total_bilirubin_change_is_missing, n (%)",False,,551 (27.6)
"total_bilirubin_change_is_missing, n (%)",True,,1448 (72.4)
"aspartate_aminotransferase_is_missing, n (%)",False,,807 (40.4)
"aspartate_aminotransferase_is_missing, n (%)",True,,1192 (59.6)
"creatinine_change_is_missing, n (%)",False,,630 (31.5)
"creatinine_change_is_missing, n (%)",True,,1369 (68.5)
"red_blood_cell_change_is_missing, n (%)",False,,903 (45.2)
"red_blood_cell_change_is_missing, n (%)",True,,1096 (54.8)
"cancer_site_C04, n (%)",False,,1999 (100.0)
"mean_corpuscular_volume_is_missing, n (%)",False,,1054 (52.7)
"mean_corpuscular_volume_is_missing, n (%)",True,,945 (47.3)
"phosphate_change_is_missing, n (%)",False,,551 (27.6)
"phosphate_change_is_missing, n (%)",True,,1448 (72.4)
"esas_depression_is_missing, n (%)",False,,1487 (74.4)
"esas_depression_is_missing, n (%)",True,,512 (25.6)
"magnesium_is_missing, n (%)",False,,825 (41.3)
"magnesium_is_missing, n (%)",True,,1174 (58.7)
"esas_nausea_is_missing, n (%)",False,,1482 (74.1)
"esas_nausea_is_missing, n (%)",True,,517 (25.9)
"cancer_site_C23, n (%)",False,,1968 (98.4)
"cancer_site_C23, n (%)",True,,31 (1.6)
"monocyte_is_missing, n (%)",False,,1046 (52.3)
"monocyte_is_missing, n (%)",True,,953 (47.7)
"mean_corpuscular_hemoglobin_concentration_is_missing, n (%)",False,,1054 (52.7)
"mean_corpuscular_hemoglobin_concentration_is_missing, n (%)",True,,945 (47.3)
"albumin_is_missing, n (%)",False,,732 (36.6)
"albumin_is_missing, n (%)",True,,1267 (63.4)
"esas_pain_is_missing, n (%)",False,,1486 (74.3)
"esas_pain_is_missing, n (%)",True,,513 (25.7)
"alkaline_phosphatase_change_is_missing, n (%)",False,,553 (27.7)
"alkaline_phosphatase_change_is_missing, n (%)",True,,1446 (72.3)
"neutrophil_change_is_missing, n (%)",False,,903 (45.2)
"neutrophil_change_is_missing, n (%)",True,,1096 (54.8)
"neutrophil_is_missing, n (%)",False,,1054 (52.7)
"neutrophil_is_missing, n (%)",True,,945 (47.3)
"mean_platelet_volume_is_missing, n (%)",False,,1054 (52.7)
"mean_platelet_volume_is_missing, n (%)",True,,945 (47.3)
"monocyte_change_is_missing, n (%)",False,,889 (44.5)
"monocyte_change_is_missing, n (%)",True,,1110 (55.5)
"potassium_is_missing, n (%)",False,,845 (42.3)
"potassium_is_missing, n (%)",True,,1154 (57.7)
"esas_tiredness_change_is_missing, n (%)",False,,1282 (64.1)
"esas_tiredness_change_is_missing, n (%)",True,,717 (35.9)
"lactate_dehydrogenase_is_missing, n (%)",False,,798 (39.9)
"lactate_dehydrogenase_is_missing, n (%)",True,,1201 (60.1)
"intent, n (%)",ADJUVANT,,205 (10.3)
"intent, n (%)",CURATIVE,,161 (8.1)
"intent, n (%)",NEOADJUVANT,,97 (4.9)
"intent, n (%)",PALLIATIVE,,1536 (76.8)
"white_blood_cell_change_is_missing, n (%)",False,,903 (45.2)
"white_blood_cell_change_is_missing, n (%)",True,,1096 (54.8)
"chloride_change_is_missing, n (%)",False,,604 (30.2)
"chloride_change_is_missing, n (%)",True,,1395 (69.8)
"albumin_change_is_missing, n (%)",False,,474 (23.7)
"albumin_change_is_missing, n (%)",True,,1525 (76.3)
"cancer_site_C30, n (%)",False,,1999 (100.0)
"red_blood_cell_is_missing, n (%)",False,,1054 (52.7)
"red_blood_cell_is_missing, n (%)",True,,945 (47.3)
"esas_depression_change_is_missing, n (%)",False,,1289 (64.5)
"esas_depression_change_is_missing, n (%)",True,,710 (35.5)
"cancer_site_C02, n (%)",False,,1999 (100.0)
"eosinophil_change_is_missing, n (%)",False,,435 (21.8)
"eosinophil_change_is_missing, n (%)",True,,1564 (78.2)
"mean_corpuscular_hemoglobin_change_is_missing, n (%)",False,,903 (45.2)
"mean_corpuscular_hemoglobin_change_is_missing, n (%)",True,,1096 (54.8)
"platelet_is_missing, n (%)",False,,1054 (52.7)
"platelet_is_missing, n (%)",True,,945 (47.3)
"cancer_site_C22, n (%)",False,,1899 (95.0)
"cancer_site_C22, n (%)",True,,100 (5.0)
"esas_drowsiness_is_missing, n (%)",False,,1482 (74.1)
"esas_drowsiness_is_missing, n (%)",True,,517 (25.9)
"esas_anxiety_change_is_missing, n (%)",False,,1284 (64.2)
"esas_anxiety_change_is_missing, n (%)",True,,715 (35.8)
"esas_shortness_of_breath_change_is_missing, n (%)",False,,1287 (64.4)
"esas_shortness_of_breath_change_is_missing, n (%)",True,,712 (35.6)
"cancer_site_C11, n (%)",False,,1999 (100.0)
"lactate_dehydrogenase_change_is_missing, n (%)",False,,543 (27.2)
"lactate_dehydrogenase_change_is_missing, n (%)",True,,1456 (72.8)
"date_of_death, n (%)",1/22/2020 0:00,,29 (1.5)
"date_of_death, n (%)",1/6/2016,,21 (1.1)
"date_of_death, n (%)",10/10/2019,,19 (1.0)
"date_of_death, n (%)",10/8/2016,,22 (1.1)
"date_of_death, n (%)",11/22/2018,,21 (1.1)
"date_of_death, n (%)",11/26/2016,,42 (2.1)
"date_of_death, n (%)",11/4/2020 0:00,,32 (1.6)
"date_of_death, n (%)",11/8/2016,,29 (1.5)
"date_of_death, n (%)",12/12/2016,,45 (2.3)
"date_of_death, n (%)",12/26/2018,,19 (1.0)
"date_of_death, n (%)",2/10/2018,,55 (2.8)
"date_of_death, n (%)",2/17/2019,,24 (1.2)
"date_of_death, n (%)",2/2/2019,,56 (2.8)
"date_of_death, n (%)",2/20/2019,,26 (1.3)
"date_of_death, n (%)",2/7/2016 0:00,,24 (1.2)
"date_of_death, n (%)",3/27/2015,,27 (1.4)
"date_of_death, n (%)",3/8/2017,,23 (1.2)
"date_of_death, n (%)",4/1/2015 0:00,,19 (1.0)
"date_of_death, n (%)",4/10/2022 19:35,,71 (3.6)
"date_of_death, n (%)",4/19/2015,,22 (1.1)
"date_of_death, n (%)",4/24/2018 0:00,,41 (2.1)
"date_of_death, n (%)",5/2/2017,,26 (1.3)
"date_of_death, n (%)",5/24/2016,,33 (1.7)
"date_of_death, n (%)",6/15/2018,,19 (1.0)
"date_of_death, n (%)",6/3/2017,,21 (1.1)
"date_of_death, n (%)",6/30/2015,,21 (1.1)
"date_of_death, n (%)",None,,595 (29.8)
"date_of_death, n (%)",Other,,617 (30.9)
"cancer_site_C25, n (%)",False,,1329 (66.5)
"cancer_site_C25, n (%)",True,,670 (33.5)
"cancer_site_C31, n (%)",False,,1999 (100.0)
"female, n (%)",False,,1028 (51.4)
"female, n (%)",True,,971 (48.6)
"cancer_site_C17, n (%)",False,,1995 (99.8)
"cancer_site_C17, n (%)",True,,4 (0.2)
"date_of_death_is_missing, n (%)",False,,1404 (70.2)
"date_of_death_is_missing, n (%)",True,,595 (29.8)
"potassium_change_is_missing, n (%)",False,,602 (30.1)
"potassium_change_is_missing, n (%)",True,,1397 (69.9)
"aspartate_aminotransferase_change_is_missing, n (%)",False,,553 (27.7)
"aspartate_aminotransferase_change_is_missing, n (%)",True,,1446 (72.3)
"magnesium_change_is_missing, n (%)",False,,584 (29.2)
"magnesium_change_is_missing, n (%)",True,,1415 (70.8)
"phosphate_is_missing, n (%)",False,,804 (40.2)
"phosphate_is_missing, n (%)",True,,1195 (59.8)
"cancer_site_C12, n (%)",False,,1999 (100.0)
"cancer_site_other, n (%)",False,,1999 (100.0)
"esas_appetite_change_is_missing, n (%)",False,,1279 (64.0)
"esas_appetite_change_is_missing, n (%)",True,,720 (36.0)
"esas_pain_change_is_missing, n (%)",False,,1289 (64.5)
"esas_pain_change_is_missing, n (%)",True,,710 (35.5)
"eosinophil_is_missing, n (%)",False,,675 (33.8)
"eosinophil_is_missing, n (%)",True,,1324 (66.2)
"cancer_site_C13, n (%)",False,,1999 (100.0)
"cancer_site_C24, n (%)",False,,1925 (96.3)
"cancer_site_C24, n (%)",True,,74 (3.7)
"esas_well_being_change_is_missing, n (%)",False,,1280 (64.0)
"esas_well_being_change_is_missing, n (%)",True,,719 (36.0)
"lymphocyte_change_is_missing, n (%)",False,,903 (45.2)
"lymphocyte_change_is_missing, n (%)",True,,1096 (54.8)
"cancer_site_C34, n (%)",False,,1994 (99.7)
"cancer_site_C34, n (%)",True,,5 (0.3)
"chloride_is_missing, n (%)",False,,846 (42.3)
"chloride_is_missing, n (%)",True,,1153 (57.7)
"mean_platelet_volume_change_is_missing, n (%)",False,,903 (45.2)
"mean_platelet_volume_change_is_missing, n (%)",True,,1096 (54.8)
"patient_ecog_change_is_missing, n (%)",False,,1186 (59.3)
"patient_ecog_change_is_missing, n (%)",True,,813 (40.7)
"creatinine_is_missing, n (%)",False,,861 (43.1)
"creatinine_is_missing, n (%)",True,,1138 (56.9)
"cancer_site_C03, n (%)",False,,1999 (100.0)
"alkaline_phosphatase_is_missing, n (%)",False,,806 (40.3)
"alkaline_phosphatase_is_missing, n (%)",True,,1193 (59.7)
"cancer_site_C38, n (%)",False,,1999 (100.0)
"hematocrit_is_missing, n (%)",False,,1054 (52.7)
"hematocrit_is_missing, n (%)",True,,945 (47.3)
"red_cell_distribution_width_change_is_missing, n (%)",False,,840 (42.0)
"red_cell_distribution_width_change_is_missing, n (%)",True,,1159 (58.0)
"hematocrit_change_is_missing, n (%)",False,,903 (45.2)
"hematocrit_change_is_missing, n (%)",True,,1096 (54.8)
"platelet_change_is_missing, n (%)",False,,903 (45.2)
"platelet_change_is_missing, n (%)",True,,1096 (54.8)
"alanine_aminotransferase_is_missing, n (%)",False,,806 (40.3)
"alanine_aminotransferase_is_missing, n (%)",True,,1193 (59.7)
"mean_corpuscular_volume_change_is_missing, n (%)",False,,903 (45.2)
"mean_corpuscular_volume_change_is_missing, n (%)",True,,1096 (54.8)
"patient_ecog_is_missing, n (%)",False,,1398 (69.9)
"patient_ecog_is_missing, n (%)",True,,601 (30.1)
"last_contact_date_is_missing, n (%)",False,,670 (33.5)
"last_contact_date_is_missing, n (%)",True,,1329 (66.5)
"glucose_change_is_missing, n (%)",False,,548 (27.4)
"glucose_change_is_missing, n (%)",True,,1451 (72.6)
"esas_depression, n (%)",0.0,,626 (31.3)
"esas_depression, n (%)",1.0,,241 (12.1)
"esas_depression, n (%)",10.0,,5 (0.3)
"esas_depression, n (%)",2.0,,223 (11.2)
"esas_depression, n (%)",3.0,,105 (5.3)
"esas_depression, n (%)",4.0,,86 (4.3)
"esas_depression, n (%)",5.0,,118 (5.9)
"esas_depression, n (%)",6.0,,46 (2.3)
"esas_depression, n (%)",7.0,,25 (1.3)
"esas_depression, n (%)",8.0,,9 (0.5)
"esas_depression, n (%)",9.0,,3 (0.2)
"esas_depression, n (%)",None,,512 (25.6)
"esas_depression_change, n (%)",-1.0,,84 (4.2)
"esas_depression_change, n (%)",-10.0,,1 (0.1)
"esas_depression_change, n (%)",-2.0,,32 (1.6)
"esas_depression_change, n (%)",-3.0,,10 (0.5)
"esas_depression_change, n (%)",-4.0,,7 (0.4)
"esas_depression_change, n (%)",-5.0,,5 (0.3)
"esas_depression_change, n (%)",-7.0,,1 (0.1)
"esas_depression_change, n (%)",-8.0,,2 (0.1)
"esas_depression_change, n (%)",0.0,,995 (49.8)
"esas_depression_change, n (%)",1.0,,73 (3.7)
"esas_depression_change, n (%)",10.0,,1 (0.1)
"esas_depression_change, n (%)",2.0,,37 (1.9)
"esas_depression_change, n (%)",3.0,,26 (1.3)
"esas_depression_change, n (%)",4.0,,6 (0.3)
"esas_depression_change, n (%)",5.0,,5 (0.3)
"esas_depression_change, n (%)",7.0,,4 (0.2)
"esas_depression_change, n (%)",None,,710 (35.5)
"line_of_therapy, n (%)",0,,464 (23.2)
"line_of_therapy, n (%)",1,,1066 (53.3)
"line_of_therapy, n (%)",2,,304 (15.2)
"line_of_therapy, n (%)",3,,120 (6.0)
"line_of_therapy, n (%)",4,,42 (2.1)
"line_of_therapy, n (%)",5,,3 (0.2)
"esas_well_being_change, n (%)",-1.0,,114 (5.7)
"esas_well_being_change, n (%)",-2.0,,36 (1.8)
"esas_well_being_change, n (%)",-3.0,,24 (1.2)
"esas_well_being_change, n (%)",-4.0,,6 (0.3)
"esas_well_being_change, n (%)",-5.0,,5 (0.3)
"esas_well_being_change, n (%)",-6.0,,1 (0.1)
"esas_well_being_change, n (%)",-7.0,,1 (0.1)
"esas_well_being_change, n (%)",-8.0,,1 (0.1)
"esas_well_being_change, n (%)",-9.0,,1 (0.1)
"esas_well_being_change, n (%)",0.0,,891 (44.6)
"esas_well_being_change, n (%)",1.0,,110 (5.5)
"esas_well_being_change, n (%)",2.0,,44 (2.2)
"esas_well_being_change, n (%)",3.0,,25 (1.3)
"esas_well_being_change, n (%)",4.0,,9 (0.5)
"esas_well_being_change, n (%)",5.0,,7 (0.4)
"esas_well_being_change, n (%)",6.0,,1 (0.1)
"esas_well_being_change, n (%)",7.0,,3 (0.2)
"esas_well_being_change, n (%)",8.0,,1 (0.1)
"esas_well_being_change, n (%)",None,,719 (36.0)
"esas_pain, n (%)",0.0,,637 (31.9)
"esas_pain, n (%)",1.0,,223 (11.2)
"esas_pain, n (%)",10.0,,3 (0.2)
"esas_pain, n (%)",2.0,,180 (9.0)
"esas_pain, n (%)",3.0,,148 (7.4)
"esas_pain, n (%)",4.0,,79 (4.0)
"esas_pain, n (%)",5.0,,83 (4.2)
"esas_pain, n (%)",6.0,,67 (3.4)
"esas_pain, n (%)",7.0,,48 (2.4)
"esas_pain, n (%)",8.0,,14 (0.7)
"esas_pain, n (%)",9.0,,4 (0.2)
"esas_pain, n (%)",None,,513 (25.7)
"esas_drowsiness, n (%)",0.0,,497 (24.9)
"esas_drowsiness, n (%)",1.0,,238 (11.9)
"esas_drowsiness, n (%)",10.0,,6 (0.3)
"esas_drowsiness, n (%)",2.0,,210 (10.5)
"esas_drowsiness, n (%)",3.0,,149 (7.5)
"esas_drowsiness, n (%)",4.0,,123 (6.2)
"esas_drowsiness, n (%)",5.0,,127 (6.4)
"esas_drowsiness, n (%)",6.0,,84 (4.2)
"esas_drowsiness, n (%)",7.0,,33 (1.7)
"esas_drowsiness, n (%)",8.0,,13 (0.7)
"esas_drowsiness, n (%)",9.0,,2 (0.1)
"esas_drowsiness, n (%)",None,,517 (25.9)
"esas_nausea, n (%)",0.0,,881 (44.1)
"esas_nausea, n (%)",1.0,,213 (10.7)
"esas_nausea, n (%)",10.0,,1 (0.1)
"esas_nausea, n (%)",2.0,,144 (7.2)
"esas_nausea, n (%)",3.0,,68 (3.4)
"esas_nausea, n (%)",4.0,,53 (2.7)
"esas_nausea, n (%)",5.0,,69 (3.5)
"esas_nausea, n (%)",6.0,,19 (1.0)
"esas_nausea, n (%)",7.0,,21 (1.1)
"esas_nausea, n (%)",8.0,,10 (0.5)
"esas_nausea, n (%)",9.0,,3 (0.2)
"esas_nausea, n (%)",None,,517 (25.9)
"esas_drowsiness_change, n (%)",-1.0,,75 (3.8)
"esas_drowsiness_change, n (%)",-10.0,,1 (0.1)
"esas_drowsiness_change, n (%)",-2.0,,36 (1.8)
"esas_drowsiness_change, n (%)",-3.0,,15 (0.8)
"esas_drowsiness_change, n (%)",-4.0,,10 (0.5)
"esas_drowsiness_change, n (%)",-5.0,,6 (0.3)
"esas_drowsiness_change, n (%)",-6.0,,3 (0.2)
"esas_drowsiness_change, n (%)",-7.0,,2 (0.1)
"esas_drowsiness_change, n (%)",0.0,,950 (47.5)
"esas_drowsiness_change, n (%)",1.0,,103 (5.2)
"esas_drowsiness_change, n (%)",10.0,,1 (0.1)
"esas_drowsiness_change, n (%)",2.0,,28 (1.4)
"esas_drowsiness_change, n (%)",3.0,,21 (1.1)
"esas_drowsiness_change, n (%)",4.0,,9 (0.5)
"esas_drowsiness_change, n (%)",5.0,,11 (0.6)
"esas_drowsiness_change, n (%)",6.0,,9 (0.5)
"esas_drowsiness_change, n (%)",7.0,,2 (0.1)
"esas_drowsiness_change, n (%)",8.0,,1 (0.1)
"esas_drowsiness_change, n (%)",None,,716 (35.8)
"patient_ecog, n (%)",0.0,,263 (13.2)
"patient_ecog, n (%)",1.0,,772 (38.6)
"patient_ecog, n (%)",2.0,,278 (13.9)
"patient_ecog, n (%)",3.0,,81 (4.1)
"patient_ecog, n (%)",4.0,,4 (0.2)
"patient_ecog, n (%)",None,,601 (30.1)
"esas_appetite, n (%)",0.0,,601 (30.1)
"esas_appetite, n (%)",1.0,,222 (11.1)
"esas_appetite, n (%)",10.0,,9 (0.5)
"esas_appetite, n (%)",2.0,,163 (8.2)
"esas_appetite, n (%)",3.0,,107 (5.4)
"esas_appetite, n (%)",4.0,,88 (4.4)
"esas_appetite, n (%)",5.0,,129 (6.5)
"esas_appetite, n (%)",6.0,,63 (3.2)
"esas_appetite, n (%)",7.0,,41 (2.1)
"esas_appetite, n (%)",8.0,,47 (2.4)
"esas_appetite, n (%)",9.0,,9 (0.5)
"esas_appetite, n (%)",None,,520 (26.0)
"esas_tiredness_change, n (%)",-1.0,,95 (4.8)
"esas_tiredness_change, n (%)",-2.0,,40 (2.0)
"esas_tiredness_change, n (%)",-3.0,,19 (1.0)
"esas_tiredness_change, n (%)",-4.0,,12 (0.6)
"esas_tiredness_change, n (%)",-5.0,,7 (0.4)
"esas_tiredness_change, n (%)",-6.0,,1 (0.1)
"esas_tiredness_change, n (%)",-7.0,,1 (0.1)
"esas_tiredness_change, n (%)",0.0,,877 (43.9)
"esas_tiredness_change, n (%)",1.0,,113 (5.7)
"esas_tiredness_change, n (%)",2.0,,51 (2.6)
"esas_tiredness_change, n (%)",3.0,,29 (1.5)
"esas_tiredness_change, n (%)",4.0,,17 (0.9)
"esas_tiredness_change, n (%)",5.0,,10 (0.5)
"esas_tiredness_change, n (%)",6.0,,6 (0.3)
"esas_tiredness_change, n (%)",7.0,,2 (0.1)
"esas_tiredness_change, n (%)",8.0,,2 (0.1)
"esas_tiredness_change, n (%)",None,,717 (35.9)
"esas_well_being, n (%)",0.0,,205 (10.3)
"esas_well_being, n (%)",1.0,,248 (12.4)
"esas_well_being, n (%)",10.0,,3 (0.2)
"esas_well_being, n (%)",2.0,,255 (12.8)
"esas_well_being, n (%)",3.0,,210 (10.5)
"esas_well_being, n (%)",4.0,,159 (8.0)
"esas_well_being, n (%)",5.0,,203 (10.2)
"esas_well_being, n (%)",6.0,,107 (5.4)
"esas_well_being, n (%)",7.0,,60 (3.0)
"esas_well_being, n (%)",8.0,,20 (1.0)
"esas_well_being, n (%)",9.0,,10 (0.5)
"esas_well_being, n (%)",None,,519 (26.0)
"patient_ecog_change, n (%)",-1.0,,63 (3.2)
"patient_ecog_change, n (%)",-2.0,,9 (0.5)
"patient_ecog_change, n (%)",0.0,,1007 (50.4)
