,,Missing,Overall
"age, n (%)",51,,278 (1.8)
"age, n (%)",52,,266 (1.7)
"age, n (%)",53,,320 (2.1)
"age, n (%)",54,,546 (3.5)
"age, n (%)",55,,401 (2.6)
"age, n (%)",56,,302 (2.0)
"age, n (%)",57,,465 (3.0)
"age, n (%)",58,,408 (2.6)
"age, n (%)",59,,560 (3.6)
"age, n (%)",60,,575 (3.7)
"age, n (%)",61,,565 (3.6)
"age, n (%)",62,,444 (2.9)
"age, n (%)",63,,505 (3.3)
"age, n (%)",64,,671 (4.3)
"age, n (%)",65,,544 (3.5)
"age, n (%)",66,,477 (3.1)
"age, n (%)",67,,553 (3.6)
"age, n (%)",68,,560 (3.6)
"age, n (%)",69,,504 (3.3)
"age, n (%)",70,,436 (2.8)
"age, n (%)",71,,423 (2.7)
"age, n (%)",72,,444 (2.9)
"age, n (%)",73,,485 (3.1)
"age, n (%)",74,,476 (3.1)
"age, n (%)",75,,336 (2.2)
"age, n (%)",76,,212 (1.4)
"age, n (%)",77,,278 (1.8)
"age, n (%)",78,,244 (1.6)
"age, n (%)",79,,225 (1.5)
"age, n (%)",80,,157 (1.0)
"age, n (%)",81,,85 (0.5)
"age, n (%)",82,,82 (0.5)
"age, n (%)",83,,75 (0.5)
"age, n (%)",84,,74 (0.5)
"age, n (%)",85,,11 (0.1)
"age, n (%)",86,,50 (0.3)
"age, n (%)",87,,20 (0.1)
"age, n (%)",88,,1 (0.0)
"age, n (%)",89,,2 (0.0)
"age, n (%)",92,,2 (0.0)
"age, n (%)",93,,3 (0.0)
"esas_shortness_of_breath, n (%)",0.0,,6535 (42.2)
"esas_shortness_of_breath, n (%)",1.0,,1844 (11.9)
"esas_shortness_of_breath, n (%)",10.0,,17 (0.1)
"esas_shortness_of_breath, n (%)",2.0,,1288 (8.3)
"esas_shortness_of_breath, n (%)",3.0,,836 (5.4)
"esas_shortness_of_breath, n (%)",4.0,,459 (3.0)
"esas_shortness_of_breath, n (%)",5.0,,461 (3.0)
"esas_shortness_of_breath, n (%)",6.0,,285 (1.8)
"esas_shortness_of_breath, n (%)",7.0,,194 (1.3)
"esas_shortness_of_breath, n (%)",8.0,,111 (0.7)
"esas_shortness_of_breath, n (%)",9.0,,26 (0.2)
"esas_shortness_of_breath, n (%)",None,,3428 (22.1)
"chloride, n (%)",100.0,,264 (1.7)
"chloride, n (%)",101.0,,379 (2.4)
"chloride, n (%)",102.0,,452 (2.9)
"chloride, n (%)",103.0,,570 (3.7)
"chloride, n (%)",104.0,,766 (4.9)
"chloride, n (%)",105.0,,750 (4.8)
"chloride, n (%)",106.0,,767 (5.0)
"chloride, n (%)",107.0,,652 (4.2)
"chloride, n (%)",108.0,,489 (3.2)
"chloride, n (%)",109.0,,306 (2.0)
"chloride, n (%)",110.0,,218 (1.4)
"chloride, n (%)",111.0,,109 (0.7)
"chloride, n (%)",112.0,,61 (0.4)
"chloride, n (%)",113.0,,20 (0.1)
"chloride, n (%)",114.0,,9 (0.1)
"chloride, n (%)",115.0,,2 (0.0)
"chloride, n (%)",116.0,,2 (0.0)
"chloride, n (%)",87.0,,3 (0.0)
"chloride, n (%)",88.0,,4 (0.0)
"chloride, n (%)",89.0,,4 (0.0)
"chloride, n (%)",90.0,,3 (0.0)
"chloride, n (%)",91.0,,10 (0.1)
"chloride, n (%)",92.0,,15 (0.1)
"chloride, n (%)",93.0,,24 (0.2)
"chloride, n (%)",94.0,,47 (0.3)
"chloride, n (%)",95.0,,47 (0.3)
"chloride, n (%)",96.0,,70 (0.5)
"chloride, n (%)",97.0,,100 (0.6)
"chloride, n (%)",98.0,,137 (0.9)
"chloride, n (%)",99.0,,194 (1.3)
"chloride, n (%)",None,,9010 (58.2)
"eosinophil, n (%)",0.01,,25 (0.2)
"eosinophil, n (%)",0.02,,41 (0.3)
"eosinophil, n (%)",0.03,,57 (0.4)
"eosinophil, n (%)",0.04,,90 (0.6)
"eosinophil, n (%)",0.05,,70 (0.5)
"eosinophil, n (%)",0.06,,63 (0.4)
"eosinophil, n (%)",0.07,,49 (0.3)
"eosinophil, n (%)",0.08,,37 (0.2)
"eosinophil, n (%)",0.09,,40 (0.3)
"eosinophil, n (%)",0.1,,2949 (19.0)
"eosinophil, n (%)",0.11,,40 (0.3)
"eosinophil, n (%)",0.12,,29 (0.2)
"eosinophil, n (%)",0.13,,28 (0.2)
"eosinophil, n (%)",0.14,,20 (0.1)
"eosinophil, n (%)",0.15,,31 (0.2)
"eosinophil, n (%)",0.16,,18 (0.1)
"eosinophil, n (%)",0.17,,17 (0.1)
"eosinophil, n (%)",0.18,,27 (0.2)
"eosinophil, n (%)",0.19,,13 (0.1)
"eosinophil, n (%)",0.2,,964 (6.2)
"eosinophil, n (%)",0.21,,15 (0.1)
"eosinophil, n (%)",0.22,,5 (0.0)
"eosinophil, n (%)",0.23,,14 (0.1)
"eosinophil, n (%)",0.24,,10 (0.1)
"eosinophil, n (%)",0.25,,7 (0.0)
"eosinophil, n (%)",0.26,,5 (0.0)
"eosinophil, n (%)",0.27,,9 (0.1)
"eosinophil, n (%)",0.28,,3 (0.0)
"eosinophil, n (%)",0.29,,5 (0.0)
"eosinophil, n (%)",0.3,,296 (1.9)
"eosinophil, n (%)",0.31,,4 (0.0)
"eosinophil, n (%)",0.32,,3 (0.0)
"eosinophil, n (%)",0.33,,3 (0.0)
"eosinophil, n (%)",0.34,,3 (0.0)
"eosinophil, n (%)",0.35,,3 (0.0)
"eosinophil, n (%)",0.36,,7 (0.0)
"eosinophil, n (%)",0.37,,2 (0.0)
"eosinophil, n (%)",0.38,,1 (0.0)
"eosinophil, n (%)",0.39,,1 (0.0)
"eosinophil, n (%)",0.4,,96 (0.6)
"eosinophil, n (%)",0.42,,1 (0.0)
"eosinophil, n (%)",0.43,,1 (0.0)
"eosinophil, n (%)",0.44,,3 (0.0)
"eosinophil, n (%)",0.45,,1 (0.0)
"eosinophil, n (%)",0.46,,3 (0.0)
"eosinophil, n (%)",0.47,,1 (0.0)
"eosinophil, n (%)",0.48,,3 (0.0)
"eosinophil, n (%)",0.49,,1 (0.0)
"eosinophil, n (%)",0.5,,49 (0.3)
"eosinophil, n (%)",0.53,,1 (0.0)
"eosinophil, n (%)",0.57,,1 (0.0)
"eosinophil, n (%)",0.58,,3 (0.0)
"eosinophil, n (%)",0.59,,1 (0.0)
"eosinophil, n (%)",0.6,,26 (0.2)
"eosinophil, n (%)",0.61,,2 (0.0)
"eosinophil, n (%)",0.62,,1 (0.0)
"eosinophil, n (%)",0.63,,1 (0.0)
"eosinophil, n (%)",0.65,,2 (0.0)
"eosinophil, n (%)",0.67,,2 (0.0)
"eosinophil, n (%)",0.68,,1 (0.0)
"eosinophil, n (%)",0.7,,14 (0.1)
"eosinophil, n (%)",0.71,,2 (0.0)
"eosinophil, n (%)",0.8,,11 (0.1)
"eosinophil, n (%)",0.81,,2 (0.0)
"eosinophil, n (%)",0.83,,1 (0.0)
"eosinophil, n (%)",0.84,,2 (0.0)
"eosinophil, n (%)",0.85,,1 (0.0)
"eosinophil, n (%)",0.9,,9 (0.1)
"eosinophil, n (%)",0.94,,1 (0.0)
"eosinophil, n (%)",0.98,,1 (0.0)
"eosinophil, n (%)",1.0,,8 (0.1)
"eosinophil, n (%)",1.03,,1 (0.0)
"eosinophil, n (%)",1.05,,1 (0.0)
"eosinophil, n (%)",1.1,,2 (0.0)
"eosinophil, n (%)",1.11,,2 (0.0)
"eosinophil, n (%)",1.2,,1 (0.0)
"eosinophil, n (%)",1.38,,1 (0.0)
"eosinophil, n (%)",1.5,,3 (0.0)
"eosinophil, n (%)",1.61,,1 (0.0)
"eosinophil, n (%)",1.8,,1 (0.0)
"eosinophil, n (%)",2.1,,1 (0.0)
"eosinophil, n (%)",2.3,,1 (0.0)
"eosinophil, n (%)",2.36,,1 (0.0)
"eosinophil, n (%)",2.8,,1 (0.0)
"eosinophil, n (%)",None,,10211 (65.9)
"esas_anxiety, n (%)",0.0,,4349 (28.1)
"esas_anxiety, n (%)",1.0,,1839 (11.9)
"esas_anxiety, n (%)",10.0,,81 (0.5)
"esas_anxiety, n (%)",2.0,,1660 (10.7)
"esas_anxiety, n (%)",3.0,,1284 (8.3)
"esas_anxiety, n (%)",4.0,,837 (5.4)
"esas_anxiety, n (%)",5.0,,823 (5.3)
"esas_anxiety, n (%)",6.0,,427 (2.8)
"esas_anxiety, n (%)",7.0,,400 (2.6)
"esas_anxiety, n (%)",8.0,,253 (1.6)
"esas_anxiety, n (%)",9.0,,92 (0.6)
"esas_anxiety, n (%)",None,,3439 (22.2)
"albumin, n (%)",18.0,,3 (0.0)
"albumin, n (%)",19.0,,4 (0.0)
"albumin, n (%)",20.0,,10 (0.1)
"albumin, n (%)",21.0,,11 (0.1)
"albumin, n (%)",22.0,,13 (0.1)
"albumin, n (%)",23.0,,19 (0.1)
"albumin, n (%)",24.0,,17 (0.1)
"albumin, n (%)",25.0,,23 (0.1)
"albumin, n (%)",26.0,,22 (0.1)
"albumin, n (%)",27.0,,30 (0.2)
"albumin, n (%)",28.0,,52 (0.3)
"albumin, n (%)",29.0,,72 (0.5)
"albumin, n (%)",30.0,,89 (0.6)
"albumin, n (%)",31.0,,136 (0.9)
"albumin, n (%)",32.0,,178 (1.1)
"albumin, n (%)",33.0,,262 (1.7)
"albumin, n (%)",34.0,,331 (2.1)
"albumin, n (%)",35.0,,443 (2.9)
"albumin, n (%)",36.0,,536 (3.5)
"albumin, n (%)",37.0,,606 (3.9)
"albumin, n (%)",38.0,,657 (4.2)
"albumin, n (%)",39.0,,651 (4.2)
"albumin, n (%)",40.0,,537 (3.5)
"albumin, n (%)",41.0,,364 (2.4)
"albumin, n (%)",42.0,,280 (1.8)
"albumin, n (%)",43.0,,142 (0.9)
"albumin, n (%)",44.0,,74 (0.5)
"albumin, n (%)",45.0,,34 (0.2)
"albumin, n (%)",46.0,,21 (0.1)
"albumin, n (%)",47.0,,4 (0.0)
"albumin, n (%)",48.0,,3 (0.0)
"albumin, n (%)",49.0,,3 (0.0)
"albumin, n (%)",None,,9857 (63.7)
"esas_tiredness, n (%)",0.0,,1992 (12.9)
"esas_tiredness, n (%)",1.0,,1602 (10.3)
"esas_tiredness, n (%)",10.0,,94 (0.6)
"esas_tiredness, n (%)",2.0,,1930 (12.5)
"esas_tiredness, n (%)",3.0,,1870 (12.1)
"esas_tiredness, n (%)",4.0,,1201 (7.8)
"esas_tiredness, n (%)",5.0,,1258 (8.1)
"esas_tiredness, n (%)",6.0,,785 (5.1)
"esas_tiredness, n (%)",7.0,,650 (4.2)
"esas_tiredness, n (%)",8.0,,492 (3.2)
"esas_tiredness, n (%)",9.0,,181 (1.2)
"esas_tiredness, n (%)",None,,3429 (22.1)
"magnesium, n (%)",0.31,,3 (0.0)
"magnesium, n (%)",0.32,,1 (0.0)
"magnesium, n (%)",0.33,,1 (0.0)
"magnesium, n (%)",0.37,,1 (0.0)
"magnesium, n (%)",0.39,,6 (0.0)
"magnesium, n (%)",0.4,,3 (0.0)
"magnesium, n (%)",0.41,,4 (0.0)
"magnesium, n (%)",0.42,,4 (0.0)
"magnesium, n (%)",0.43,,9 (0.1)
"magnesium, n (%)",0.44,,2 (0.0)
"magnesium, n (%)",0.45,,5 (0.0)
"magnesium, n (%)",0.46,,7 (0.0)
"magnesium, n (%)",0.47,,8 (0.1)
"magnesium, n (%)",0.48,,11 (0.1)
"magnesium, n (%)",0.49,,12 (0.1)
"magnesium, n (%)",0.5,,14 (0.1)
"magnesium, n (%)",0.51,,22 (0.1)
"magnesium, n (%)",0.52,,15 (0.1)
"magnesium, n (%)",0.53,,12 (0.1)
"magnesium, n (%)",0.54,,34 (0.2)
"magnesium, n (%)",0.55,,29 (0.2)
"magnesium, n (%)",0.56,,33 (0.2)
"magnesium, n (%)",0.57,,31 (0.2)
"magnesium, n (%)",0.58,,34 (0.2)
"magnesium, n (%)",0.59,,41 (0.3)
"magnesium, n (%)",0.6,,41 (0.3)
"magnesium, n (%)",0.61,,53 (0.3)
"magnesium, n (%)",0.62,,47 (0.3)
"magnesium, n (%)",0.63,,64 (0.4)
"magnesium, n (%)",0.64,,93 (0.6)
"magnesium, n (%)",0.65,,85 (0.5)
"magnesium, n (%)",0.66,,96 (0.6)
"magnesium, n (%)",0.67,,102 (0.7)
"magnesium, n (%)",0.68,,113 (0.7)
"magnesium, n (%)",0.69,,168 (1.1)
"magnesium, n (%)",0.7,,165 (1.1)
"magnesium, n (%)",0.71,,171 (1.1)
"magnesium, n (%)",0.72,,183 (1.2)
"magnesium, n (%)",0.73,,184 (1.2)
"magnesium, n (%)",0.74,,245 (1.6)
"magnesium, n (%)",0.75,,236 (1.5)
"magnesium, n (%)",0.76,,271 (1.8)
"magnesium, n (%)",0.77,,275 (1.8)
"magnesium, n (%)",0.78,,273 (1.8)
"magnesium, n (%)",0.79,,272 (1.8)
"magnesium, n (%)",0.8,,311 (2.0)
"magnesium, n (%)",0.81,,309 (2.0)
"magnesium, n (%)",0.82,,243 (1.6)
"magnesium, n (%)",0.83,,276 (1.8)
"magnesium, n (%)",0.84,,256 (1.7)
"magnesium, n (%)",0.85,,223 (1.4)
"magnesium, n (%)",0.86,,215 (1.4)
"magnesium, n (%)",0.87,,200 (1.3)
"magnesium, n (%)",0.88,,169 (1.1)
"magnesium, n (%)",0.89,,127 (0.8)
"magnesium, n (%)",0.9,,121 (0.8)
"magnesium, n (%)",0.91,,84 (0.5)
"magnesium, n (%)",0.92,,68 (0.4)
"magnesium, n (%)",0.93,,65 (0.4)
"magnesium, n (%)",0.94,,47 (0.3)
"magnesium, n (%)",0.95,,32 (0.2)
"magnesium, n (%)",0.96,,31 (0.2)
"magnesium, n (%)",0.97,,29 (0.2)
"magnesium, n (%)",0.98,,11 (0.1)
"magnesium, n (%)",0.99,,15 (0.1)
"magnesium, n (%)",1.0,,18 (0.1)
"magnesium, n (%)",1.01,,12 (0.1)
"magnesium, n (%)",1.02,,6 (0.0)
"magnesium, n (%)",1.03,,3 (0.0)
"magnesium, n (%)",1.04,,4 (0.0)
"magnesium, n (%)",1.05,,1 (0.0)
"magnesium, n (%)",1.06,,1 (0.0)
"magnesium, n (%)",1.07,,1 (0.0)
"magnesium, n (%)",1.09,,1 (0.0)
"magnesium, n (%)",1.1,,3 (0.0)
"magnesium, n (%)",1.11,,1 (0.0)
"magnesium, n (%)",1.15,,1 (0.0)
"magnesium, n (%)",1.26,,2 (0.0)
"magnesium, n (%)",1.28,,1 (0.0)
"magnesium, n (%)",1.39,,1 (0.0)
"magnesium, n (%)",1.58,,1 (0.0)
"magnesium, n (%)",1.87,,1 (0.0)
"magnesium, n (%)",None,,9115 (58.9)
"hemoglobin, n (%)",100.0,,147 (0.9)
"hemoglobin, n (%)",101.0,,163 (1.1)
"hemoglobin, n (%)",102.0,,157 (1.0)
"hemoglobin, n (%)",103.0,,173 (1.1)
"hemoglobin, n (%)",104.0,,195 (1.3)
"hemoglobin, n (%)",105.0,,184 (1.2)
"hemoglobin, n (%)",106.0,,183 (1.2)
"hemoglobin, n (%)",107.0,,184 (1.2)
"hemoglobin, n (%)",108.0,,202 (1.3)
"hemoglobin, n (%)",109.0,,210 (1.4)
"hemoglobin, n (%)",110.0,,189 (1.2)
"hemoglobin, n (%)",111.0,,179 (1.2)
"hemoglobin, n (%)",112.0,,199 (1.3)
"hemoglobin, n (%)",113.0,,173 (1.1)
"hemoglobin, n (%)",114.0,,157 (1.0)
"hemoglobin, n (%)",115.0,,195 (1.3)
"hemoglobin, n (%)",116.0,,199 (1.3)
"hemoglobin, n (%)",117.0,,193 (1.2)
"hemoglobin, n (%)",118.0,,175 (1.1)
"hemoglobin, n (%)",119.0,,174 (1.1)
"hemoglobin, n (%)",120.0,,144 (0.9)
"hemoglobin, n (%)",121.0,,174 (1.1)
"hemoglobin, n (%)",122.0,,131 (0.8)
"hemoglobin, n (%)",123.0,,136 (0.9)
"hemoglobin, n (%)",124.0,,135 (0.9)
"hemoglobin, n (%)",125.0,,127 (0.8)
"hemoglobin, n (%)",126.0,,118 (0.8)
"hemoglobin, n (%)",127.0,,114 (0.7)
"hemoglobin, n (%)",128.0,,120 (0.8)
"hemoglobin, n (%)",129.0,,104 (0.7)
"hemoglobin, n (%)",130.0,,99 (0.6)
"hemoglobin, n (%)",131.0,,106 (0.7)
"hemoglobin, n (%)",132.0,,83 (0.5)
"hemoglobin, n (%)",133.0,,77 (0.5)
"hemoglobin, n (%)",134.0,,76 (0.5)
"hemoglobin, n (%)",135.0,,75 (0.5)
"hemoglobin, n (%)",136.0,,57 (0.4)
"hemoglobin, n (%)",137.0,,55 (0.4)
"hemoglobin, n (%)",138.0,,62 (0.4)
"hemoglobin, n (%)",139.0,,50 (0.3)
"hemoglobin, n (%)",140.0,,42 (0.3)
"hemoglobin, n (%)",141.0,,44 (0.3)
"hemoglobin, n (%)",142.0,,34 (0.2)
"hemoglobin, n (%)",143.0,,26 (0.2)
"hemoglobin, n (%)",144.0,,26 (0.2)
"hemoglobin, n (%)",145.0,,44 (0.3)
"hemoglobin, n (%)",146.0,,28 (0.2)
"hemoglobin, n (%)",147.0,,20 (0.1)
"hemoglobin, n (%)",148.0,,12 (0.1)
"hemoglobin, n (%)",149.0,,14 (0.1)
"hemoglobin, n (%)",150.0,,8 (0.1)
"hemoglobin, n (%)",151.0,,7 (0.0)
"hemoglobin, n (%)",152.0,,8 (0.1)
"hemoglobin, n (%)",153.0,,6 (0.0)
"hemoglobin, n (%)",154.0,,6 (0.0)
"hemoglobin, n (%)",155.0,,3 (0.0)
"hemoglobin, n (%)",156.0,,4 (0.0)
"hemoglobin, n (%)",157.0,,4 (0.0)
"hemoglobin, n (%)",158.0,,4 (0.0)
"hemoglobin, n (%)",159.0,,4 (0.0)
"hemoglobin, n (%)",160.0,,4 (0.0)
"hemoglobin, n (%)",161.0,,3 (0.0)
"hemoglobin, n (%)",163.0,,1 (0.0)
"hemoglobin, n (%)",166.0,,1 (0.0)
"hemoglobin, n (%)",168.0,,2 (0.0)
"hemoglobin, n (%)",170.0,,1 (0.0)
"hemoglobin, n (%)",63.0,,1 (0.0)
"hemoglobin, n (%)",66.0,,2 (0.0)
"hemoglobin, n (%)",67.0,,2 (0.0)
"hemoglobin, n (%)",68.0,,1 (0.0)
"hemoglobin, n (%)",69.0,,2 (0.0)
"hemoglobin, n (%)",71.0,,4 (0.0)
"hemoglobin, n (%)",72.0,,5 (0.0)
"hemoglobin, n (%)",73.0,,3 (0.0)
"hemoglobin, n (%)",74.0,,5 (0.0)
"hemoglobin, n (%)",75.0,,8 (0.1)
"hemoglobin, n (%)",76.0,,8 (0.1)
"hemoglobin, n (%)",77.0,,23 (0.1)
"hemoglobin, n (%)",78.0,,11 (0.1)
"hemoglobin, n (%)",79.0,,25 (0.2)
"hemoglobin, n (%)",80.0,,29 (0.2)
"hemoglobin, n (%)",81.0,,28 (0.2)
"hemoglobin, n (%)",82.0,,38 (0.2)
"hemoglobin, n (%)",83.0,,41 (0.3)
"hemoglobin, n (%)",84.0,,46 (0.3)
"hemoglobin, n (%)",85.0,,65 (0.4)
"hemoglobin, n (%)",86.0,,61 (0.4)
"hemoglobin, n (%)",87.0,,75 (0.5)
"hemoglobin, n (%)",88.0,,81 (0.5)
"hemoglobin, n (%)",89.0,,88 (0.6)
"hemoglobin, n (%)",90.0,,101 (0.7)
"hemoglobin, n (%)",91.0,,104 (0.7)
"hemoglobin, n (%)",92.0,,110 (0.7)
"hemoglobin, n (%)",93.0,,106 (0.7)
"hemoglobin, n (%)",94.0,,129 (0.8)
"hemoglobin, n (%)",95.0,,137 (0.9)
"hemoglobin, n (%)",96.0,,144 (0.9)
"hemoglobin, n (%)",97.0,,152 (1.0)
"hemoglobin, n (%)",98.0,,151 (1.0)
"hemoglobin, n (%)",99.0,,153 (1.0)
"hemoglobin, n (%)",None,,7515 (48.5)
"esas_depression, n (%)",0.0,,5187 (33.5)
"esas_depression, n (%)",1.0,,1795 (11.6)
