,,Missing,Overall
"red_cell_distribution_width, n (%)",-1.246470895,,94 (0.6)
"red_cell_distribution_width, n (%)",-1.294800199,,103 (0.7)
"red_cell_distribution_width, n (%)",-1.343129504,,115 (0.7)
"red_cell_distribution_width, n (%)",-1.391458808,,87 (0.6)
"red_cell_distribution_width, n (%)",-1.439788113,,91 (0.6)
"red_cell_distribution_width, n (%)",-1.488117417,,89 (0.6)
"red_cell_distribution_width, n (%)",-1.536446722,,86 (0.6)
"red_cell_distribution_width, n (%)",-1.584776026,,85 (0.5)
"red_cell_distribution_width, n (%)",-1.633105331,,82 (0.5)
"red_cell_distribution_width, n (%)",-1.681434635,,77 (0.5)
"red_cell_distribution_width, n (%)",-1.72976394,,96 (0.6)
"red_cell_distribution_width, n (%)",-1.778093244,,77 (0.5)
"red_cell_distribution_width, n (%)",-1.826422549,,73 (0.5)
"red_cell_distribution_width, n (%)",-1.874751853,,40 (0.3)
"red_cell_distribution_width, n (%)",-1.923081157,,47 (0.3)
"red_cell_distribution_width, n (%)",-1.971410462,,45 (0.3)
"red_cell_distribution_width, n (%)",-2.019739766,,35 (0.2)
"red_cell_distribution_width, n (%)",-2.068069071,,19 (0.1)
"red_cell_distribution_width, n (%)",-2.116398375,,28 (0.2)
"red_cell_distribution_width, n (%)",-2.16472768,,22 (0.1)
"red_cell_distribution_width, n (%)",-2.213056984,,14 (0.1)
"red_cell_distribution_width, n (%)",-2.261386289,,14 (0.1)
"red_cell_distribution_width, n (%)",-2.309715593,,5 (0.0)
"red_cell_distribution_width, n (%)",-2.358044898,,7 (0.0)
"red_cell_distribution_width, n (%)",-2.406374202,,5 (0.0)
"red_cell_distribution_width, n (%)",-2.454703507,,4 (0.0)
"red_cell_distribution_width, n (%)",-2.503032811,,4 (0.0)
"red_cell_distribution_width, n (%)",-2.551362116,,2 (0.0)
"red_cell_distribution_width, n (%)",-2.59969142,,2 (0.0)
"red_cell_distribution_width, n (%)",-2.648020725,,9 (0.1)
"red_cell_distribution_width, n (%)",0.010091021,,111 (0.7)
"red_cell_distribution_width, n (%)",0.058420326,,105 (0.7)
"red_cell_distribution_width, n (%)",0.10674963,,97 (0.6)
"red_cell_distribution_width, n (%)",0.155078935,,93 (0.6)
"red_cell_distribution_width, n (%)",0.203408239,,84 (0.5)
"red_cell_distribution_width, n (%)",0.251737544,,97 (0.6)
"red_cell_distribution_width, n (%)",0.300066848,,91 (0.6)
"red_cell_distribution_width, n (%)",0.348396153,,83 (0.5)
"red_cell_distribution_width, n (%)",0.396725457,,95 (0.6)
"red_cell_distribution_width, n (%)",0.445054762,,79 (0.5)
"red_cell_distribution_width, n (%)",0.493384066,,92 (0.6)
"red_cell_distribution_width, n (%)",0.541713371,,72 (0.5)
"red_cell_distribution_width, n (%)",0.590042675,,83 (0.5)
"red_cell_distribution_width, n (%)",0.638371979,,84 (0.5)
"red_cell_distribution_width, n (%)",0.686701284,,66 (0.4)
"red_cell_distribution_width, n (%)",0.735030588,,75 (0.5)
"red_cell_distribution_width, n (%)",0.783359893,,62 (0.4)
"red_cell_distribution_width, n (%)",0.831689197,,71 (0.5)
"red_cell_distribution_width, n (%)",0.880018502,,58 (0.4)
"red_cell_distribution_width, n (%)",0.928347806,,54 (0.3)
"red_cell_distribution_width, n (%)",0.976677111,,55 (0.4)
"red_cell_distribution_width, n (%)",1.025006415,,70 (0.5)
"red_cell_distribution_width, n (%)",1.07333572,,54 (0.3)
"red_cell_distribution_width, n (%)",1.121665024,,64 (0.4)
"red_cell_distribution_width, n (%)",1.169994329,,49 (0.3)
"red_cell_distribution_width, n (%)",1.218323633,,48 (0.3)
"red_cell_distribution_width, n (%)",1.266652938,,43 (0.3)
"red_cell_distribution_width, n (%)",1.314982242,,52 (0.3)
"red_cell_distribution_width, n (%)",1.363311547,,37 (0.2)
"red_cell_distribution_width, n (%)",1.411640851,,44 (0.3)
"red_cell_distribution_width, n (%)",1.459970156,,35 (0.2)
"red_cell_distribution_width, n (%)",1.50829946,,31 (0.2)
"red_cell_distribution_width, n (%)",1.556628764,,35 (0.2)
"red_cell_distribution_width, n (%)",1.604958069,,34 (0.2)
"red_cell_distribution_width, n (%)",1.653287373,,33 (0.2)
"red_cell_distribution_width, n (%)",1.701616678,,30 (0.2)
"red_cell_distribution_width, n (%)",1.72e-15,,8168 (52.8)
"red_cell_distribution_width, n (%)",1.749945982,,35 (0.2)
"red_cell_distribution_width, n (%)",1.798275287,,35 (0.2)
"red_cell_distribution_width, n (%)",1.846604591,,39 (0.3)
"red_cell_distribution_width, n (%)",1.894933896,,34 (0.2)
"red_cell_distribution_width, n (%)",1.9432632,,23 (0.1)
"red_cell_distribution_width, n (%)",1.991592505,,18 (0.1)
"red_cell_distribution_width, n (%)",2.039921809,,31 (0.2)
"red_cell_distribution_width, n (%)",2.088251114,,30 (0.2)
"red_cell_distribution_width, n (%)",2.136580418,,32 (0.2)
"red_cell_distribution_width, n (%)",2.184909723,,25 (0.2)
"red_cell_distribution_width, n (%)",2.233239027,,15 (0.1)
"red_cell_distribution_width, n (%)",2.281568332,,19 (0.1)
"red_cell_distribution_width, n (%)",2.329897636,,25 (0.2)
"red_cell_distribution_width, n (%)",2.37822694,,26 (0.2)
"red_cell_distribution_width, n (%)",2.426556245,,14 (0.1)
"red_cell_distribution_width, n (%)",2.474885549,,21 (0.1)
"red_cell_distribution_width, n (%)",2.523214854,,19 (0.1)
"red_cell_distribution_width, n (%)",2.571544158,,14 (0.1)
"red_cell_distribution_width, n (%)",2.619873463,,7 (0.0)
"red_cell_distribution_width, n (%)",2.668202767,,7 (0.0)
"red_cell_distribution_width, n (%)",2.716532072,,16 (0.1)
"red_cell_distribution_width, n (%)",2.764861376,,11 (0.1)
"red_cell_distribution_width, n (%)",2.813190681,,7 (0.0)
"red_cell_distribution_width, n (%)",2.861519985,,10 (0.1)
"red_cell_distribution_width, n (%)",2.90984929,,8 (0.1)
"red_cell_distribution_width, n (%)",2.958178594,,4 (0.0)
"red_cell_distribution_width, n (%)",3.006507899,,10 (0.1)
"red_cell_distribution_width, n (%)",3.054837203,,8 (0.1)
"red_cell_distribution_width, n (%)",3.103166508,,9 (0.1)
"red_cell_distribution_width, n (%)",3.151495812,,9 (0.1)
"red_cell_distribution_width, n (%)",3.199825116,,4 (0.0)
"red_cell_distribution_width, n (%)",3.248154421,,13 (0.1)
"red_cell_distribution_width, n (%)",3.296483725,,6 (0.0)
"red_cell_distribution_width, n (%)",3.34481303,,8 (0.1)
"red_cell_distribution_width, n (%)",3.393142334,,6 (0.0)
"red_cell_distribution_width, n (%)",3.441471639,,3 (0.0)
"red_cell_distribution_width, n (%)",3.489800943,,4 (0.0)
"red_cell_distribution_width, n (%)",3.538130248,,3 (0.0)
"red_cell_distribution_width, n (%)",3.586459552,,7 (0.0)
"red_cell_distribution_width, n (%)",3.634788857,,7 (0.0)
"red_cell_distribution_width, n (%)",3.683118161,,7 (0.0)
"red_cell_distribution_width, n (%)",3.731447466,,1 (0.0)
"red_cell_distribution_width, n (%)",3.77977677,,4 (0.0)
"red_cell_distribution_width, n (%)",3.828106075,,6 (0.0)
"red_cell_distribution_width, n (%)",3.876435379,,5 (0.0)
"red_cell_distribution_width, n (%)",3.924764684,,5 (0.0)
"red_cell_distribution_width, n (%)",3.973093988,,10 (0.1)
"red_cell_distribution_width, n (%)",4.021423292,,2 (0.0)
"red_cell_distribution_width, n (%)",4.069752597,,3 (0.0)
"red_cell_distribution_width, n (%)",4.118081901,,2 (0.0)
"red_cell_distribution_width, n (%)",4.166411206,,3 (0.0)
"red_cell_distribution_width, n (%)",4.21474051,,5 (0.0)
"red_cell_distribution_width, n (%)",4.263069815,,8 (0.1)
"red_cell_distribution_width, n (%)",4.311399119,,3 (0.0)
"red_cell_distribution_width, n (%)",4.359728424,,10 (0.1)
"red_cell_distribution_width, n (%)",4.408057728,,6 (0.0)
"red_cell_distribution_width, n (%)",4.456387033,,6 (0.0)
"red_cell_distribution_width, n (%)",4.504716337,,6 (0.0)
"red_cell_distribution_width, n (%)",4.553045642,,5 (0.0)
"red_cell_distribution_width, n (%)",4.649704251,,4 (0.0)
"red_cell_distribution_width, n (%)",4.698033555,,3 (0.0)
"red_cell_distribution_width, n (%)",4.74636286,,4 (0.0)
"red_cell_distribution_width, n (%)",4.794692164,,5 (0.0)
"red_cell_distribution_width, n (%)",4.843021469,,1 (0.0)
"red_cell_distribution_width, n (%)",4.939680077,,7 (0.0)
"red_cell_distribution_width, n (%)",4.988009382,,2 (0.0)
"red_cell_distribution_width, n (%)",5.036338686,,2 (0.0)
"red_cell_distribution_width, n (%)",5.084667991,,2 (0.0)
"red_cell_distribution_width, n (%)",5.132997295,,2 (0.0)
"red_cell_distribution_width, n (%)",5.1813266,,5 (0.0)
"red_cell_distribution_width, n (%)",5.229655904,,3 (0.0)
"red_cell_distribution_width, n (%)",5.277985209,,3 (0.0)
"red_cell_distribution_width, n (%)",5.326314513,,2 (0.0)
"red_cell_distribution_width, n (%)",5.422973122,,1 (0.0)
"red_cell_distribution_width, n (%)",5.471302427,,4 (0.0)
"red_cell_distribution_width, n (%)",5.519631731,,2 (0.0)
"red_cell_distribution_width, n (%)",5.567961036,,2 (0.0)
"red_cell_distribution_width, n (%)",5.61629034,,2 (0.0)
"red_cell_distribution_width, n (%)",5.664619645,,1 (0.0)
"red_cell_distribution_width, n (%)",5.809607558,,4 (0.0)
"red_cell_distribution_width, n (%)",5.857936862,,1 (0.0)
"red_cell_distribution_width, n (%)",5.954595471,,2 (0.0)
"red_cell_distribution_width, n (%)",6.002924776,,1 (0.0)
"red_cell_distribution_width, n (%)",6.099583385,,3 (0.0)
"red_cell_distribution_width, n (%)",6.147912689,,1 (0.0)
"red_cell_distribution_width, n (%)",6.244571298,,2 (0.0)
"red_cell_distribution_width, n (%)",6.486217821,,1 (0.0)
"red_cell_distribution_width, n (%)",6.534547125,,1 (0.0)
"red_cell_distribution_width, n (%)",6.582876429,,1 (0.0)
"red_cell_distribution_width, n (%)",6.824522952,,1 (0.0)
"red_cell_distribution_width, n (%)",6.921181561,,1 (0.0)
"red_cell_distribution_width, n (%)",7.01784017,,1 (0.0)
"red_cell_distribution_width, n (%)",7.114498779,,1 (0.0)
"red_cell_distribution_width, n (%)",7.259486692,,1 (0.0)
"red_cell_distribution_width, n (%)",7.356145301,,1 (0.0)
"red_cell_distribution_width, n (%)",7.404474605,,1 (0.0)
"red_cell_distribution_width, n (%)",7.501133214,,1 (0.0)
"red_cell_distribution_width, n (%)",7.646121128,,1 (0.0)
"red_cell_distribution_width, n (%)",7.742779737,,1 (0.0)
"red_cell_distribution_width, n (%)",7.791109041,,1 (0.0)
"red_cell_distribution_width, n (%)",7.890425762,,8 (0.1)
"eosinophil, n (%)",-0.068775046,,31 (0.2)
"eosinophil, n (%)",-0.196466837,,20 (0.1)
"eosinophil, n (%)",-0.324158629,,28 (0.2)
"eosinophil, n (%)",-0.45185042,,29 (0.2)
"eosinophil, n (%)",-0.579542211,,40 (0.3)
"eosinophil, n (%)",-0.707234003,,2949 (19.0)
"eosinophil, n (%)",-0.834925794,,40 (0.3)
"eosinophil, n (%)",-0.962617585,,37 (0.2)
"eosinophil, n (%)",-1.090309377,,49 (0.3)
"eosinophil, n (%)",-1.218001168,,63 (0.4)
"eosinophil, n (%)",-1.345692959,,70 (0.5)
"eosinophil, n (%)",-1.473384751,,90 (0.6)
"eosinophil, n (%)",-1.601076542,,57 (0.4)
"eosinophil, n (%)",-1.728768333,,41 (0.3)
"eosinophil, n (%)",-1.856460125,,25 (0.2)
"eosinophil, n (%)",-3.54e-16,,10211 (65.9)
"eosinophil, n (%)",0.058916746,,18 (0.1)
"eosinophil, n (%)",0.186608537,,17 (0.1)
"eosinophil, n (%)",0.314300328,,27 (0.2)
"eosinophil, n (%)",0.44199212,,13 (0.1)
"eosinophil, n (%)",0.569683911,,964 (6.2)
"eosinophil, n (%)",0.697375702,,15 (0.1)
"eosinophil, n (%)",0.825067494,,5 (0.0)
"eosinophil, n (%)",0.952759285,,14 (0.1)
"eosinophil, n (%)",1.080451076,,10 (0.1)
"eosinophil, n (%)",1.208142868,,7 (0.0)
"eosinophil, n (%)",1.335834659,,5 (0.0)
"eosinophil, n (%)",1.46352645,,9 (0.1)
"eosinophil, n (%)",1.591218242,,3 (0.0)
"eosinophil, n (%)",1.718910033,,5 (0.0)
"eosinophil, n (%)",1.846601824,,296 (1.9)
"eosinophil, n (%)",1.974293616,,4 (0.0)
"eosinophil, n (%)",10.01887647,,1 (0.0)
"eosinophil, n (%)",10.52964364,,1 (0.0)
"eosinophil, n (%)",10.78502722,,8 (0.1)
"eosinophil, n (%)",11.16810259,,1 (0.0)
"eosinophil, n (%)",11.42348618,,1 (0.0)
"eosinophil, n (%)",12.06194513,,2 (0.0)
"eosinophil, n (%)",12.18963692,,2 (0.0)
"eosinophil, n (%)",13.33886305,,1 (0.0)
"eosinophil, n (%)",15.63731529,,1 (0.0)
"eosinophil, n (%)",17.16961679,,3 (0.0)
"eosinophil, n (%)",18.19217265,,6 (0.0)
"eosinophil, n (%)",2.101985407,,3 (0.0)
"eosinophil, n (%)",2.229677198,,3 (0.0)
"eosinophil, n (%)",2.35736899,,3 (0.0)
"eosinophil, n (%)",2.485060781,,3 (0.0)
"eosinophil, n (%)",2.612752573,,7 (0.0)
"eosinophil, n (%)",2.740444364,,2 (0.0)
"eosinophil, n (%)",2.868136155,,1 (0.0)
"eosinophil, n (%)",2.995827947,,1 (0.0)
"eosinophil, n (%)",3.123519738,,96 (0.6)
"eosinophil, n (%)",3.378903321,,1 (0.0)
"eosinophil, n (%)",3.506595112,,1 (0.0)
"eosinophil, n (%)",3.634286903,,3 (0.0)
"eosinophil, n (%)",3.761978695,,1 (0.0)
"eosinophil, n (%)",3.889670486,,3 (0.0)
"eosinophil, n (%)",4.017362277,,1 (0.0)
"eosinophil, n (%)",4.145054069,,3 (0.0)
"eosinophil, n (%)",4.27274586,,1 (0.0)
"eosinophil, n (%)",4.400437651,,49 (0.3)
"eosinophil, n (%)",4.783513026,,1 (0.0)
"eosinophil, n (%)",5.294280191,,1 (0.0)
"eosinophil, n (%)",5.421971982,,3 (0.0)
"eosinophil, n (%)",5.549663774,,1 (0.0)
"eosinophil, n (%)",5.677355565,,26 (0.2)
"eosinophil, n (%)",5.805047356,,2 (0.0)
"eosinophil, n (%)",5.932739148,,1 (0.0)
"eosinophil, n (%)",6.060430939,,1 (0.0)
"eosinophil, n (%)",6.315814522,,2 (0.0)
"eosinophil, n (%)",6.571198104,,2 (0.0)
"eosinophil, n (%)",6.698889896,,1 (0.0)
"eosinophil, n (%)",6.954273478,,14 (0.1)
"eosinophil, n (%)",7.08196527,,2 (0.0)
"eosinophil, n (%)",8.231191392,,11 (0.1)
"eosinophil, n (%)",8.358883183,,2 (0.0)
"eosinophil, n (%)",8.614266766,,1 (0.0)
"eosinophil, n (%)",8.741958557,,2 (0.0)
"eosinophil, n (%)",8.869650349,,1 (0.0)
"eosinophil, n (%)",9.508109306,,9 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.126502624,,316 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.268528463,,307 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.410554303,,336 (2.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.552580143,,300 (1.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.694605982,,290 (1.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.836631822,,269 (1.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",-0.978657661,,289 (1.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.120683501,,236 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.262709341,,232 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.40473518,,185 (1.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.54676102,,164 (1.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.688786859,,158 (1.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.830812699,,135 (0.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",-1.972838539,,111 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.114864378,,101 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.256890218,,82 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.398916057,,79 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.540941897,,77 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.682967737,,53 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.824993576,,59 (0.4)
"mean_corpuscular_hemoglobin_concentration, n (%)",-2.967019416,,38 (0.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.109045255,,12 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.251071095,,7 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.393096934,,4 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.535122774,,13 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.677148614,,7 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.819174453,,5 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-3.961200293,,10 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",-4.103226132,,6 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",-4.245251972,,13 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",-8.07e-15,,7515 (48.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.015523216,,315 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.157549055,,305 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.299574895,,319 (2.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.441600735,,304 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.583626574,,321 (2.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.725652414,,268 (1.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",0.867678253,,263 (1.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.009704093,,232 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.151729932,,231 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.293755772,,223 (1.4)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.435781612,,208 (1.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.577807451,,143 (0.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.719833291,,163 (1.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",1.86185913,,138 (0.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.00388497,,107 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.14591081,,103 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.287936649,,75 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.429962489,,67 (0.4)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.571988328,,39 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.714014168,,36 (0.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.856040008,,49 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",2.998065847,,45 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.140091687,,23 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.282117526,,22 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.424143366,,16 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.566169206,,10 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.708195045,,13 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.850220885,,11 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",3.992246724,,4 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",4.134272564,,1 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",4.276298404,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",4.418324243,,4 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",4.560350083,,2 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",4.702375922,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",4.844401762,,9 (0.1)
"monocyte, n (%)",-0.006006196,,20 (0.1)
"monocyte, n (%)",-0.04864911,,12 (0.1)
"monocyte, n (%)",-0.091292024,,9 (0.1)
"monocyte, n (%)",-0.133934938,,17 (0.1)
"monocyte, n (%)",-0.176577852,,10 (0.1)
"monocyte, n (%)",-0.219220766,,960 (6.2)
"monocyte, n (%)",-0.26186368,,13 (0.1)
"monocyte, n (%)",-0.304506594,,7 (0.0)
"monocyte, n (%)",-0.347149508,,17 (0.1)
"monocyte, n (%)",-0.389792422,,24 (0.2)
"monocyte, n (%)",-0.432435336,,13 (0.1)
"monocyte, n (%)",-0.47507825,,18 (0.1)
"monocyte, n (%)",-0.517721164,,16 (0.1)
"monocyte, n (%)",-0.560364078,,14 (0.1)
"monocyte, n (%)",-0.603006992,,17 (0.1)
"monocyte, n (%)",-0.645649906,,895 (5.8)
"monocyte, n (%)",-0.688292819,,22 (0.1)
"monocyte, n (%)",-0.730935733,,12 (0.1)
"monocyte, n (%)",-0.773578647,,15 (0.1)
"monocyte, n (%)",-0.816221561,,18 (0.1)
"monocyte, n (%)",-0.858864475,,13 (0.1)
"monocyte, n (%)",-0.901507389,,16 (0.1)
"monocyte, n (%)",-0.944150303,,8 (0.1)
"monocyte, n (%)",-0.986793217,,19 (0.1)
"monocyte, n (%)",-1.029436131,,13 (0.1)
"monocyte, n (%)",-1.072079045,,691 (4.5)
"monocyte, n (%)",-1.114721959,,17 (0.1)
"monocyte, n (%)",-1.157364873,,17 (0.1)
"monocyte, n (%)",-1.200007787,,13 (0.1)
"monocyte, n (%)",-1.242650701,,16 (0.1)
"monocyte, n (%)",-1.285293615,,17 (0.1)
"monocyte, n (%)",-1.327936529,,13 (0.1)
"monocyte, n (%)",-1.370579443,,12 (0.1)
"monocyte, n (%)",-1.413222356,,22 (0.1)
"monocyte, n (%)",-1.45586527,,14 (0.1)
"monocyte, n (%)",-1.498508184,,572 (3.7)
"monocyte, n (%)",-1.541151098,,18 (0.1)
"monocyte, n (%)",-1.583794012,,23 (0.1)
"monocyte, n (%)",-1.626436926,,18 (0.1)
"monocyte, n (%)",-1.66907984,,14 (0.1)
"monocyte, n (%)",-1.711722754,,14 (0.1)
